ID,appln_filing_year,appln_auth,number_priority_filings
0,2009,AE,1
1,2010,AE,3
2,2011,AE,1
3,2012,AE,3
4,2014,AE,2
5,2015,AE,3
6,2016,AE,4
7,2017,AE,1
8,2018,AE,7
9,2011,AL,1
10,2013,AL,1
11,2014,AL,3
12,2016,AL,2
13,2018,AL,1
14,2009,AM,6
15,2010,AM,6
16,2011,AM,12
17,2012,AM,8
18,2013,AM,6
19,2014,AM,6
20,2015,AM,5
21,2016,AM,8
22,2017,AM,2
23,2018,AM,4
24,2011,AO,1
25,2009,AP,12
26,2010,AP,11
27,2011,AP,15
28,2012,AP,16
29,2013,AP,13
30,2014,AP,20
31,2015,AP,18
32,2016,AP,18
33,2017,AP,1
34,2018,AP,1
35,2009,AR,692
36,2010,AR,686
37,2011,AR,792
38,2012,AR,635
39,2013,AR,585
40,2014,AR,534
41,2015,AR,525
42,2016,AR,478
43,2017,AR,411
44,2018,AR,319
45,2019,AR,14
46,2009,AT,1395
47,2010,AT,1492
48,2011,AT,1376
49,2012,AT,1394
50,2013,AT,1364
51,2014,AT,1359
52,2015,AT,1412
53,2016,AT,1249
54,2017,AT,1194
55,2018,AT,1187
56,2019,AT,270
57,2020,AT,6
58,2009,AU,3965
59,2010,AU,3701
60,2011,AU,4661
61,2012,AU,4265
62,2013,AU,3781
63,2014,AU,3806
64,2015,AU,3959
65,2016,AU,3927
66,2017,AU,3771
67,2018,AU,3657
68,2019,AU,1551
69,2020,AU,969
70,2010,AW,1
71,2016,AW,2
72,2009,AZ,7
73,2010,AZ,4
74,2011,AZ,6
75,2012,AZ,7
76,2013,AZ,11
77,2014,AZ,5
78,2015,AZ,5
79,2016,AZ,2
80,2017,AZ,4
81,2018,AZ,9
82,2009,BA,7
83,2010,BA,6
84,2011,BA,9
85,2012,BA,9
86,2013,BA,5
87,2014,BA,3
88,2015,BA,2
89,2016,BA,3
90,2017,BA,3
91,2018,BA,3
92,2016,BD,2
93,2017,BD,1
94,2018,BD,3
95,2009,BE,532
96,2010,BE,501
97,2011,BE,494
98,2012,BE,530
99,2013,BE,427
100,2014,BE,429
101,2015,BE,562
102,2016,BE,777
103,2017,BE,828
104,2018,BE,804
105,2019,BE,150
106,2020,BE,8
107,2009,BG,121
108,2010,BG,145
109,2011,BG,159
110,2012,BG,163
111,2013,BG,169
112,2014,BG,151
113,2015,BG,191
114,2016,BG,155
115,2017,BG,96
116,2018,BG,34
117,2019,BG,10
118,2013,BH,1
119,2016,BH,1
120,2017,BH,1
121,2009,BI,1
122,2015,BI,4
123,2016,BI,2
124,2012,BN,2
125,2013,BN,3
126,2014,BN,2
127,2016,BN,7
128,2018,BN,2
129,2019,BN,1
130,2009,BO,3
131,2010,BO,1
132,2012,BO,2
133,2009,BR,3980
134,2010,BR,3894
135,2011,BR,4055
136,2012,BR,4195
137,2013,BR,4243
138,2014,BR,3714
139,2015,BR,3605
140,2016,BR,3675
141,2017,BR,4029
142,2018,BR,3820
143,2019,BR,583
144,2020,BR,66
145,2013,BS,1
146,2009,BY,54
147,2010,BY,48
148,2011,BY,37
149,2012,BY,49
150,2013,BY,41
151,2014,BY,15
152,2015,BY,10
153,2016,BY,8
