appln_id,appln_auth,appln_kind,appln_filing_year,appln_nr_epodoc,ipr_type,receiving_office,earliest_filing_id,priority
441442106,WO,W ,2013,WO2013CA50967,PI,CA,441442106,1
447530608,US,A ,2014,US201414306158,PI,  ,447530608,1
456384804,WO,W ,2016,WO2016FI50324,PI,FI,456384804,1
456436029,EP,A ,2016,EP20160723615,PI,  ,471824297,0
470572619,US,A ,2016,US201615092551,PI,  ,905011839,0
472977662,WO,W ,2016,WO2016EP82494,PI,EP,905080881,0
473244875,WO,W ,2016,WO2016US35274,PI,US,473380895,0
473313213,EP,A ,2016,EP20160815771,PI,  ,472400150,0
474336518,EP,A ,2016,EP20160826795,PI,  ,480391732,0
475216662,US,A ,2015,US201514935829,PI,  ,905043871,0
475470240,WO,W ,2017,WO2017IB50821,PI,IB,451579582,0
475508280,EP,A ,2017,EP20170158108,PI,  ,475508280,1
476566797,US,A ,2015,US201514858389,PI,  ,476566797,1
477689523,EP,A ,2016,EP20160855952,PI,  ,905086547,0
478016219,EP,A ,2017,EP20170718614,PI,  ,902744621,0
478337231,WO,W ,2016,WO2016US60673,PI,US,905060559,0
478399149,US,A ,2016,US201615345424,PI,  ,905077512,0
478699223,EP,A ,2016,EP20160864199,PI,  ,479195856,0
479045490,GB,A ,2017,GB20170005579,PI,  ,905110035,0
479527828,CN,A ,2016,CN201611255589,PI,  ,479527828,1
480602090,EP,A ,2016,EP20160879528,PI,  ,905067096,0
481982420,WO,W ,2017,WO2017IB54428,PI,IB,469739141,0
482306039,CN,A ,2017,CN201710213720,PI,  ,482306039,1
482355244,US,A ,2016,US201615019926,PI,  ,482355244,1
483645129,EP,A ,2017,EP20170761228,PI,  ,492135968,0
483937129,US,A ,2016,US201615366860,PI,  ,905075493,0
484424729,CN,A ,2017,CN201710268612,PI,  ,484424729,1
484488088,US,A ,2017,US201715476791,PI,  ,905136987,0
484955836,US,A ,2016,US201615243902,PI,  ,905127156,0
485335862,WO,W ,2016,WO2016US28788,PI,US,485335862,1
486795880,US,A ,2016,US201615166156,PI,  ,486795880,1
486938718,WO,W ,2017,WO2017EP81464,PI,EP,495018379,0
487302817,WO,W ,2017,WO2017EP82451,PI,EP,487302817,1
487321251,US,A ,2017,US201715670903,PI,  ,414785102,0
488427398,EP,A ,2017,EP20170821863,PI,  ,473748833,0
489018886,EP,A ,2018,EP20180700453,PI,  ,905190303,0
489482626,CN,A ,2017,CN201710644879,PI,  ,489482626,1
490120991,CN,A ,2017,CN201710671799,PI,  ,490120991,1
490472888,CN,A ,2017,CN201710800091,PI,  ,490472888,1
490745568,WO,W ,2017,WO2017US48156,PI,US,905160862,0
490886173,CN,A ,2017,CN201710889655,PI,  ,490886173,1
490949728,US,A ,2017,US201715675697,PI,  ,905150360,0
491765899,WO,W ,2017,WO2017CN101304,PI,CN,901527665,0
492381520,US,A ,2016,US201615280857,PI,  ,492381520,1
492980092,WO,W ,2018,WO2018EP58149,PI,EP,492980092,1
493226150,WO,W ,2018,WO2018EP58928,PI,EP,503418975,0
493264139,WO,W ,2017,WO2017KR11203,PI,KR,494963245,0
493392674,CN,A ,2017,CN201711142750,PI,  ,493392674,1
493425515,CN,A ,2017,CN201711226383,PI,  ,493425515,1
493584833,EP,A ,2018,EP20180717843,PI,  ,902213293,0
493987723,EP,A ,2018,EP20180719993,PI,  ,902874803,0
494051678,EP,A ,2017,EP20170867259,PI,  ,905164743,0
494268105,US,A ,2016,US201615349693,PI,  ,494268105,1
494271500,US,A ,2017,US201715814762,PI,  ,905170787,0
495151830,GB,A ,2017,GB20180006701,PI,  ,451579602,0
495191670,US,A ,2016,US201615370642,PI,  ,495191670,1
495754713,US,A ,2016,US201615374105,PI,  ,495754713,1
